region,year,percent_p_ingresos
Araucanía,1990,21.62
Araucanía,1990,24.73
Araucanía,1990,53.64
Araucanía,1992,12.27
Araucanía,1992,29.29
Araucanía,1992,58.43
Araucanía,1994,10.86
Araucanía,1994,23.57
Araucanía,1994,65.57
Araucanía,1996,11.92
Araucanía,1996,23.77
Araucanía,1996,64.31
Araucanía,1998,11.94
Araucanía,1998,22.85
Araucanía,1998,65.21
Araucanía,2000,11.28
Araucanía,2000,21.45
Araucanía,2000,67.27
Araucanía,2003,9.47
Araucanía,2003,20.24
Araucanía,2003,70.29
Araucanía,2006,6.05
Araucanía,2006,14
Araucanía,2006,79.95
Araucanía,2009,9.03
Araucanía,2009,18.07
Araucanía,2009,72.9
Araucanía,2011,5.98
Araucanía,2011,17.93
Araucanía,2011,76.08
Araucanía,2013,10.58
Araucanía,2013,17.33
Araucanía,2013,72.1
Araucanía,2015,8.4
Araucanía,2015,15.18
Araucanía,2015,76.42
Araucanía,2017,4.57
Araucanía,2017,12.59
Araucanía,2017,82.84
