region;year;sexo;mean_ingreso_trabajo
Araucanía;1990;Hombre;39002
Araucanía;1990;Mujer;9655
Araucanía;1992;Hombre;91989
Araucanía;1992;Mujer;63387
Araucanía;1994;Hombre;194548
Araucanía;1994;Mujer;135377
Araucanía;1996;Hombre;248775
Araucanía;1996;Mujer;164456
Araucanía;1998;Hombre;298445
Araucanía;1998;Mujer;201154
Araucanía;2000;Hombre;342099
Araucanía;2000;Mujer;209329
Araucanía;2003;Hombre;348727
Araucanía;2003;Mujer;232733
Araucanía;2006;Hombre;391523
Araucanía;2006;Mujer;265229
Araucanía;2009;Hombre;473232
Araucanía;2009;Mujer;319571
Araucanía;2011;Hombre;502757
Araucanía;2011;Mujer;358055
Araucanía;2013;Hombre;506268
Araucanía;2013;Mujer;351018
Araucanía;2015;Hombre;564686
Araucanía;2015;Mujer;398419
Araucanía;2017;Hombre;619687
Araucanía;2017;Mujer;462563
