municipality,year,numero_de_centros_de_salud_urbanos_en_la_comuna
TEMUCO,2018,0
CARAHUE,2018,0
CUNCO,2018,0
CURARREHUE,2018,0
FREIRE,2018,0
GORBEA,2018,0
LAUTARO,2018,4
LONCOCHE,2018,0
MELIPEUCO,2018,0
NUEVA IMPERIAL,2018,0
PADRE LAS CASAS,2018,4
PERQUENCO,2018,0
PITRUFQUÉN,2018,2
PUCÓN,2018,0
SAAVEDRA,2018,0
TEODORO SCHMIDT,2018,3
TOLTÉN,2018,0
VILCÚN,2018,0
VILLARRICA,2018,8
CHOLCHOL,2018,0
ANGOL,2018,0
COLLIPULLI,2018,0
CURACAUTÍN,2018,1
ERCILLA,2018,0
LONQUIMAY,2018,0
LOS SAUCES,2018,0
LUMACO,2018,0
PURÉN,2018,0
RENAICO,2018,0
TRAIGUÉN,2018,0
VICTORIA,2018,0
TEMUCO,2017,0
CARAHUE,2017,0
CUNCO,2017,0
CURARREHUE,2017,0
FREIRE,2017,0
GALVARINO,2017,0
GORBEA,2017,0
LAUTARO,2017,4
LONCOCHE,2017,0
MELIPEUCO,2017,0
NUEVA IMPERIAL,2017,0
PADRE LAS CASAS,2017,4
PERQUENCO,2017,0
PITRUFQUÉN,2017,2
PUCÓN,2017,0
SAAVEDRA,2017,0
TEODORO SCHMIDT,2017,0
TOLTÉN,2017,0
VILCÚN,2017,0
VILLARRICA,2017,2
CHOLCHOL,2017,0
ANGOL,2017,0
COLLIPULLI,2017,0
CURACAUTÍN,2017,0
ERCILLA,2017,0
LONQUIMAY,2017,0
LOS SAUCES,2017,1
PURÉN,2017,0
RENAICO,2017,0
TRAIGUÉN,2017,0
VICTORIA,2017,1
TEMUCO,2016,0
CARAHUE,2016,0
CUNCO,2016,0
CURARREHUE,2016,0
FREIRE,2016,0
GALVARINO,2016,0
GORBEA,2016,0
LAUTARO,2016,0
LONCOCHE,2016,0
MELIPEUCO,2016,0
NUEVA IMPERIAL,2016,0
PADRE LAS CASAS,2016,4
PERQUENCO,2016,0
PITRUFQUÉN,2016,2
PUCÓN,2016,0
SAAVEDRA,2016,0
TEODORO SCHMIDT,2016,0
TOLTÉN,2016,0
VILCÚN,2016,0
VILLARRICA,2016,0
CHOLCHOL,2016,0
ANGOL,2016,0
COLLIPULLI,2016,0
CURACAUTÍN,2016,0
ERCILLA,2016,0
LONQUIMAY,2016,0
LOS SAUCES,2016,0
LUMACO,2016,0
RENAICO,2016,0
TRAIGUÉN,2016,0
VICTORIA,2016,1
TEMUCO,2015,0
CARAHUE,2015,0
CUNCO,2015,1
CURARREHUE,2015,0
FREIRE,2015,0
GALVARINO,2015,0
GORBEA,2015,0
LAUTARO,2015,0
LONCOCHE,2015,0
MELIPEUCO,2015,0
NUEVA IMPERIAL,2015,0
PADRE LAS CASAS,2015,0
PERQUENCO,2015,0
PITRUFQUÉN,2015,0
PUCÓN,2015,0
SAAVEDRA,2015,0
TEODORO SCHMIDT,2015,0
TOLTÉN,2015,0
VILCÚN,2015,1
VILLARRICA,2015,0
CHOLCHOL,2015,0
ANGOL,2015,0
COLLIPULLI,2015,0
CURACAUTÍN,2015,0
ERCILLA,2015,0
LONQUIMAY,2015,0
LOS SAUCES,2015,0
LUMACO,2015,0
PURÉN,2015,0
RENAICO,2015,0
TRAIGUÉN,2015,0
VICTORIA,2015,0
