municipality,year,numero_de_cesfam_en_la_comuna
TEMUCO,2018,8
CARAHUE,2018,1
CUNCO,2018,1
CURARREHUE,2018,1
FREIRE,2018,2
GORBEA,2018,0
LAUTARO,2018,1
LONCOCHE,2018,0
MELIPEUCO,2018,1
NUEVA IMPERIAL,2018,1
PADRE LAS CASAS,2018,4
PERQUENCO,2018,1
PITRUFQUÉN,2018,1
PUCÓN,2018,1
SAAVEDRA,2018,0
TEODORO SCHMIDT,2018,2
TOLTÉN,2018,0
VILCÚN,2018,1
VILLARRICA,2018,3
CHOLCHOL,2018,0
ANGOL,2018,3
COLLIPULLI,2018,0
CURACAUTÍN,2018,0
ERCILLA,2018,1
LONQUIMAY,2018,0
LOS SAUCES,2018,1
LUMACO,2018,0
PURÉN,2018,0
RENAICO,2018,1
TRAIGUÉN,2018,0
VICTORIA,2018,1
TEMUCO,2017,7
CARAHUE,2017,1
CUNCO,2017,1
CURARREHUE,2017,1
FREIRE,2017,2
GALVARINO,2017,0
GORBEA,2017,0
LAUTARO,2017,1
LONCOCHE,2017,0
MELIPEUCO,2017,1
NUEVA IMPERIAL,2017,1
PADRE LAS CASAS,2017,4
PERQUENCO,2017,1
PITRUFQUÉN,2017,1
PUCÓN,2017,1
SAAVEDRA,2017,0
TEODORO SCHMIDT,2017,2
TOLTÉN,2017,0
VILCÚN,2017,1
VILLARRICA,2017,3
CHOLCHOL,2017,0
ANGOL,2017,3
COLLIPULLI,2017,0
CURACAUTÍN,2017,0
ERCILLA,2017,1
LONQUIMAY,2017,0
LOS SAUCES,2017,1
LUMACO,2017,1
PURÉN,2017,0
RENAICO,2017,1
TRAIGUÉN,2017,0
VICTORIA,2017,1
TEMUCO,2016,8
CARAHUE,2016,1
CUNCO,2016,1
CURARREHUE,2016,1
FREIRE,2016,0
GALVARINO,2016,0
GORBEA,2016,0
LAUTARO,2016,1
LONCOCHE,2016,0
MELIPEUCO,2016,1
NUEVA IMPERIAL,2016,1
PADRE LAS CASAS,2016,3
PERQUENCO,2016,1
PITRUFQUÉN,2016,1
PUCÓN,2016,1
SAAVEDRA,2016,0
TEODORO SCHMIDT,2016,2
TOLTÉN,2016,0
VILCÚN,2016,1
VILLARRICA,2016,2
CHOLCHOL,2016,1
ANGOL,2016,3
COLLIPULLI,2016,0
CURACAUTÍN,2016,0
ERCILLA,2016,1
LONQUIMAY,2016,0
LOS SAUCES,2016,1
LUMACO,2016,0
PURÉN,2016,0
RENAICO,2016,1
TRAIGUÉN,2016,0
VICTORIA,2016,1
TEMUCO,2015,7
CARAHUE,2015,1
CUNCO,2015,1
CURARREHUE,2015,1
FREIRE,2015,0
GALVARINO,2015,0
GORBEA,2015,0
LAUTARO,2015,1
LONCOCHE,2015,0
MELIPEUCO,2015,1
NUEVA IMPERIAL,2015,1
PADRE LAS CASAS,2015,4
PERQUENCO,2015,1
PITRUFQUÉN,2015,1
PUCÓN,2015,1
SAAVEDRA,2015,0
TEODORO SCHMIDT,2015,2
TOLTÉN,2015,0
VILCÚN,2015,0
VILLARRICA,2015,2
CHOLCHOL,2015,1
ANGOL,2015,3
COLLIPULLI,2015,0
CURACAUTÍN,2015,0
ERCILLA,2015,1
LONQUIMAY,2015,0
LOS SAUCES,2015,1
LUMACO,2015,1
PURÉN,2015,0
RENAICO,2015,1
TRAIGUÉN,2015,0
VICTORIA,2015,1
