"","comuna","year","n_pavimentaciones"
"1","ANGOL",2011,31
"2","CARAGUE",2011,9
"3","CHOLCHOL",2011,2
"4","COLLIPULLI",2011,4
"5","CUNCO",2011,4
"6","CURACAUTÍN",2011,2
"7","ERCILLA",2011,1
"8","GORBEA",2011,8
"9","LAUTARO",2011,6
"10","LONCOCHE",2011,11
"11","LONQUIMAY",2011,6
"12","LOS SAUCES",2011,3
"13","MELIPEUCO",2011,2
"14","PERQUENCO",2011,8
"15","PITRUFQUÉN",2011,11
"16","PURÉN",2011,4
"17","RENAICO",2011,2
"18","TEMUCO",2011,39
"19","TEODORO SCHMIDT",2011,8
"20","TOLTÉN",2011,4
"21","TRAIGUÉN",2011,20
"22","VICTORIA",2011,12
"23","VILCÚN",2011,8
"24","VILLARRICA",2011,8
"25","ANGOL",2013,7
"26","CARAHUE",2013,9
"27","COLLIPULLI",2013,8
"28","CUNCO",2013,8
"29","CURACAUTÍN",2013,11
"30","ERCILLA",2013,10
"31","FREIRE",2013,2
"32","GALVARINO",2013,2
"33","GORBEA",2013,15
"34","LAUTARO",2013,2
"35","LONCOCHE",2013,8
"36","LONQUIMAY",2013,6
"37","LUMACO",2013,5
"38","MELIPEUCO",2013,2
"39","PERQUENCO",2013,1
"40","PITRUFQUÉN",2013,11
"41","PUCÓN",2013,1
"42","PURÉN",2013,1
"43","RENAICO",2013,7
"44","SAAVEDRA",2013,5
"45","TEMUCO",2013,26
"46","TEODORO SCHMIDT",2013,7
"47","TOLTÉN",2013,4
"48","TRAIGUÉN",2013,18
"49","VICTORIA",2013,18
"50","VILCÚN",2013,7
"51","VILLARRICA",2013,6
