"nom_region","comuna","votos_2016","votos_2017","votos_2020","votos_2021","electores_2016","electores_2017","electores_2020","electores_2021","part_2016","part_2017","part_2020","part_2021"
"REGIÓN DE LA ARAUCANÍA","ANGOL",18382,21288,19538,16185,46099,46499,47395,47137,39.8750515195557,45.7816297124669,41.2237577803566,34.34
"REGIÓN DE LA ARAUCANÍA","CARAHUE",11691,10262,7262,10679,23709,24051,24601,24697,49.3103884600785,42.6676645461727,29.5191252388114,43.24
"REGIÓN DE LA ARAUCANÍA","CHOLCHOL",5975,5094,4218,6466,9811,9938,10384,11095,60.9010294567322,51.2577983497686,40.6201848998459,58.28
"REGIÓN DE LA ARAUCANÍA","COLLIPULLI",10220,9485,8340,8437,21376,21603,21994,22160,47.810628742515,43.9059389899551,37.9194325725198,38.07
"REGIÓN DE LA ARAUCANÍA","CUNCO",8574,7566,6082,7908,19297,19463,19878,20001,44.4317769601492,38.8737604685814,30.5966395009558,39.54
"REGIÓN DE LA ARAUCANÍA","CURACAUTIN",6740,7186,5923,6528,20536,20745,20992,21202,32.8204129333853,34.6396722101711,28.2155106707317,30.79
"REGIÓN DE LA ARAUCANÍA","CURARREHUE",3955,2990,2655,3872,7887,7952,8322,8517,50.1458095600355,37.6006036217304,31.9033886085076,45.46
"REGIÓN DE LA ARAUCANÍA","ERCILLA",4046,3033,2593,3649,7909,7940,8058,8142,51.1569098495385,38.1989924433249,32.1792007942418,44.82
"REGIÓN DE LA ARAUCANÍA","FREIRE",9229,9306,7670,8529,21997,22184,22759,22845,41.9557212347138,41.9491525423729,33.7009534689573,37.33
"REGIÓN DE LA ARAUCANÍA","GALVARINO",6480,5380,3753,5953,11821,11929,11998,12157,54.8176973183318,45.1001760415793,31.2802133688948,48.97
"REGIÓN DE LA ARAUCANÍA","GORBEA",7198,6853,5419,7211,15308,15396,15478,15659,47.0211654037105,44.5115614445311,35.0109833311797,46.05
"REGIÓN DE LA ARAUCANÍA","LAUTARO",12254,14701,12910,12468,32327,33042,34059,34252,37.9063940359452,44.4918588463168,37.9048122375877,36.4
"REGIÓN DE LA ARAUCANÍA","LONCOCHE",8941,9539,8237,9551,22151,22362,23045,23193,40.3638661911426,42.6571862981844,35.7431113039705,41.18
"REGIÓN DE LA ARAUCANÍA","LONQUIMAY",6184,4455,3349,6452,11560,11634,11965,12215,53.4948096885813,38.2929345023208,27.989970748015,52.82
"REGIÓN DE LA ARAUCANÍA","LOS SAUCES",4714,3606,2495,4166,7367,7396,7360,7531,63.9880548391475,48.7560843699297,33.8994565217391,55.32
"REGIÓN DE LA ARAUCANÍA","LUMACO",5304,4363,2979,5053,9016,9068,9145,9284,58.8287488908607,48.1142479047199,32.5751776927283,54.43
"REGIÓN DE LA ARAUCANÍA","MELIPEUCO",3444,2596,2229,3756,7207,7290,7512,7836,47.7868738726238,35.6104252400549,29.6725239616613,47.93
"REGIÓN DE LA ARAUCANÍA","NUEVA IMPERIAL",13601,13967,12100,13621,29637,29880,30516,30689,45.8919593751054,46.743641231593,39.6513304496002,44.38
"REGIÓN DE LA ARAUCANÍA","PADRE LAS CASAS",16272,24192,23953,19284,54530,55662,57937,58858,29.8404547955254,43.4623261830333,41.3431831126914,32.76
"REGIÓN DE LA ARAUCANÍA","PERQUENCO",3509,3005,2553,3874,6347,6379,6631,6821,55.2859618717504,47.1076971312118,38.500980244307,56.8
"REGIÓN DE LA ARAUCANÍA","PITRUFQUEN",9407,10061,8567,9887,21681,22039,22765,23103,43.3882201005489,45.6508916012523,37.6323303316495,42.8
"REGIÓN DE LA ARAUCANÍA","PUCON",9075,9961,11376,10794,24455,25198,27403,28338,37.1089756695972,39.5309151519962,41.5137028792468,38.09
"REGIÓN DE LA ARAUCANÍA","PUREN",6341,5329,4291,5780,11917,12022,12182,12233,53.2097004279601,44.3270670437531,35.2241011328189,47.25
"REGIÓN DE LA ARAUCANÍA","RENAICO",5107,4283,3745,4836,9052,9168,9497,9886,56.4184710561202,46.7168411867365,39.4335053174687,48.92
"REGIÓN DE LA ARAUCANÍA","SAAVEDRA",6412,5302,4021,6978,12681,12801,13030,13270,50.5638356596483,41.4186391688149,30.8595548733691,52.58
"REGIÓN DE LA ARAUCANÍA","TEMUCO",59988,105454,117106,85038,225121,228212,235933,236909,26.6470031671857,46.2087883196326,49.6352778119212,35.89
"REGIÓN DE LA ARAUCANÍA","TEODORO SCHMIDT",7838,6719,4819,6880,13848,13835,13991,14036,56.6002310803004,48.5652331044452,34.4435708669859,49.02
"REGIÓN DE LA ARAUCANÍA","TOLTEN",5419,4358,3398,4653,10315,10438,10544,10591,52.5351429956374,41.7512933512167,32.2268588770865,43.93
"REGIÓN DE LA ARAUCANÍA","TRAIGUEN",8917,8194,6402,7376,18393,18582,18666,18639,48.4804001522318,44.0964374125498,34.2976534876246,39.57
"REGIÓN DE LA ARAUCANÍA","VICTORIA",12245,13870,12373,12671,31830,32115,32578,32716,38.4699968583098,43.1885411801339,37.9796181472159,38.73
"REGIÓN DE LA ARAUCANÍA","VILCUN",10072,10302,9119,10908,22614,23004,23981,24470,44.5387812859291,44.7835159102765,38.0259372002836,44.58
"REGIÓN DE LA ARAUCANÍA","VILLARRICA",15851,20929,21744,18993,49042,50205,53705,54948,32.3212756412871,41.6870829598646,40.4878502932688,34.57
